Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
LAL,LAL @ DEN,05/25/2009,L,48,101,34,82,41.5,9,31,29.0,24,35,68.6,9,31,40,19,10,4,5,31,-19,
DEN,DEN vs. LAL,05/25/2009,W,48,120,38,86,44.2,7,24,29.2,37,49,75.5,20,38,58,23,6,6,5,24,19,
CLE,CLE @ ORL,05/24/2009,L,48,89,29,78,37.2,5,26,19.2,26,35,74.3,11,31,42,17,15,7,3,34,-10,
ORL,ORL vs. CLE,05/24/2009,W,48,99,27,63,42.9,6,17,35.3,39,51,76.5,8,32,40,16,13,9,4,24,10,
DEN,DEN vs. LAL,05/23/2009,L,48,97,33,84,39.3,5,27,18.5,26,31,83.9,11,32,43,21,11,10,5,31,-6,
LAL,LAL @ DEN,05/23/2009,W,48,103,33,72,45.8,6,19,31.6,31,45,68.9,8,35,43,15,13,7,7,24,6,
CLE,CLE vs. ORL,05/22/2009,W,48,96,35,77,45.5,5,19,26.3,21,26,80.8,8,30,38,17,14,5,4,24,1,
ORL,ORL @ CLE,05/22/2009,L,48,95,34,71,47.9,10,23,43.5,17,25,68.0,7,23,30,16,12,6,7,25,-1,
LAL,LAL vs. DEN,05/21/2009,L,48,103,35,77,45.5,6,15,40.0,27,35,77.1,13,30,43,21,16,9,6,27,-3,
DEN,DEN @ LAL,05/21/2009,W,48,106,35,79,44.3,7,21,33.3,29,37,78.4,14,28,42,20,14,9,5,29,3,
CLE,CLE vs. ORL,05/20/2009,L,48,106,43,88,48.9,8,25,32.0,12,17,70.6,8,25,33,23,8,8,7,19,-1,
ORL,ORL @ CLE,05/20/2009,W,48,107,43,78,55.1,9,20,45.0,12,14,85.7,8,28,36,32,13,5,1,15,1,
DEN,DEN @ LAL,05/19/2009,L,48,103,36,74,48.6,8,19,42.1,23,35,65.7,7,30,37,24,15,9,8,26,-2,
LAL,LAL vs. DEN,05/19/2009,W,48,105,37,90,41.1,11,25,44.0,20,24,83.3,17,29,46,25,16,7,9,26,2,
BOS,BOS vs. ORL,05/17/2009,L,48,82,29,74,39.2,4,16,25.0,20,25,80.0,7,30,37,21,13,6,3,22,-19,
HOU,HOU @ LAL,05/17/2009,L,48,70,28,76,36.8,5,20,25.0,9,14,64.3,5,28,33,17,16,13,3,20,-19,
ORL,ORL @ BOS,05/17/2009,W,48,101,36,70,51.4,13,21,61.9,16,20,80.0,3,32,35,26,16,4,8,20,19,
LAL,LAL vs. HOU,05/17/2009,W,48,89,35,75,46.7,5,15,33.3,14,18,77.8,13,42,55,16,19,8,10,17,19,
LAL,LAL @ HOU,05/14/2009,L,48,80,30,84,35.7,5,23,21.7,15,20,75.0,15,30,45,11,10,6,5,23,-15,
ORL,ORL vs. BOS,05/14/2009,W,48,83,30,82,36.6,6,26,23.1,17,31,54.8,16,26,42,13,10,9,7,15,8,
HOU,HOU vs. LAL,05/14/2009,W,48,95,36,71,50.7,7,18,38.9,16,22,72.7,7,32,39,19,12,6,2,19,15,
BOS,BOS @ ORL,05/14/2009,L,48,75,32,77,41.6,3,18,16.7,8,13,61.5,12,36,48,18,22,7,4,28,-8,
DAL,DAL @ DEN,05/13/2009,L,48,110,38,74,51.4,12,34,35.3,22,29,75.9,9,21,30,23,14,5,2,22,-14,
DEN,DEN vs. DAL,05/13/2009,W,48,124,48,82,58.5,11,26,42.3,17,22,77.3,12,26,38,31,13,8,2,25,14,
BOS,BOS vs. ORL,05/12/2009,W,48,92,33,78,42.3,5,16,31.3,21,21,100,11,31,42,23,8,7,1,20,4,
ORL,ORL @ BOS,05/12/2009,L,48,88,36,80,45.0,6,24,25.0,10,12,83.3,8,31,39,23,10,5,2,20,-4,
LAL,LAL vs. HOU,05/12/2009,W,48,118,42,82,51.2,6,13,46.2,28,36,77.8,12,37,49,20,13,12,7,18,40,
HOU,HOU @ LAL,05/12/2009,L,48,78,29,89,32.6,5,29,17.2,15,16,93.8,16,26,42,15,18,4,4,25,-40,
DEN,DEN @ DAL,05/11/2009,L,48,117,38,79,48.1,9,21,42.9,32,44,72.7,6,28,34,16,11,9,5,29,-2,
CLE,CLE @ ATL,05/11/2009,W,48,84,30,70,42.9,10,18,55.6,14,26,53.8,15,33,48,22,18,6,5,25,10,
ATL,ATL vs. CLE,05/11/2009,L,48,74,23,73,31.5,2,13,15.4,26,30,86.7,9,24,33,13,8,7,2,19,-10,
DAL,DAL vs. DEN,05/11/2009,W,48,119,40,79,50.6,3,14,21.4,36,43,83.7,9,41,50,17,15,9,3,29,2,
BOS,BOS @ ORL,05/10/2009,W,48,95,38,72,52.8,1,10,10.0,18,27,66.7,9,35,44,16,13,3,5,28,1,
ORL,ORL vs. BOS,05/10/2009,L,48,94,34,85,40.0,5,27,18.5,21,28,75.0,12,26,38,20,8,5,4,24,-1,
HOU,HOU vs. LAL,05/10/2009,W,48,99,36,80,45.0,10,29,34.5,17,20,85.0,11,32,43,18,11,7,4,16,12,
LAL,LAL @ HOU,05/10/2009,L,48,87,34,76,44.7,8,18,44.4,11,18,61.1,8,29,37,14,11,7,4,22,-12,
DEN,DEN @ DAL,05/09/2009,W,48,106,34,81,42.0,6,15,40.0,32,40,80.0,13,28,41,15,7,7,5,34,1,
DAL,DAL vs. DEN,05/09/2009,L,48,105,30,75,40.0,5,15,33.3,40,49,81.6,11,35,46,15,10,1,7,27,-1,
CLE,CLE @ ATL,05/09/2009,W,48,97,35,69,50.7,6,22,27.3,21,29,72.4,13,33,46,15,13,3,2,14,15,
ATL,ATL vs. CLE,05/09/2009,L,48,82,34,76,44.7,7,18,38.9,7,11,63.6,8,15,23,19,9,7,4,24,-15,
HOU,HOU vs. LAL,05/08/2009,L,48,94,35,84,41.7,6,19,31.6,18,25,72.0,19,37,56,16,17,2,3,22,-14,
BOS,BOS @ ORL,05/08/2009,L,48,96,34,79,43.0,5,18,27.8,23,26,88.5,6,23,29,24,15,11,1,29,-21,
LAL,LAL @ HOU,05/08/2009,W,48,108,36,82,43.9,11,20,55.0,25,33,75.8,10,33,43,17,6,11,9,22,14,
ORL,ORL vs. BOS,05/08/2009,W,48,117,39,66,59.1,9,18,50.0,30,36,83.3,3,33,36,16,19,11,5,25,21,
CLE,CLE vs. ATL,05/07/2009,W,48,105,38,71,53.5,6,19,31.6,23,30,76.7,10,33,43,19,18,7,11,22,20,
ATL,ATL @ CLE,05/07/2009,L,48,85,29,83,34.9,8,18,44.4,19,24,79.2,18,16,34,17,14,9,4,22,-20,
BOS,BOS vs. ORL,05/06/2009,W,48,112,41,80,51.3,9,20,45.0,21,25,84.0,7,34,41,34,10,6,4,27,18,
HOU,HOU @ LAL,05/06/2009,L,48,98,34,74,45.9,9,24,37.5,21,29,72.4,12,27,39,16,20,6,2,25,-13,
ORL,ORL @ BOS,05/06/2009,L,48,94,31,70,44.3,8,19,42.1,24,37,64.9,7,27,34,19,13,3,2,24,-18,
LAL,LAL vs. HOU,05/06/2009,W,48,111,43,86,50.0,6,17,35.3,19,26,73.1,14,26,40,23,11,10,8,20,13,
DEN,DEN vs. DAL,05/05/2009,W,48,117,39,78,50.0,8,28,28.6,31,40,77.5,12,30,42,28,10,9,3,20,12,
DAL,DAL @ DEN,05/05/2009,L,48,105,37,78,47.4,8,23,34.8,23,30,76.7,9,28,37,23,13,4,1,28,-12,
CLE,CLE vs. ATL,05/05/2009,W,48,99,37,79,46.8,8,20,40.0,17,24,70.8,15,26,41,16,7,12,2,16,27,
ATL,ATL @ CLE,05/05/2009,L,48,72,28,64,43.8,7,18,38.9,9,18,50.0,6,27,33,19,17,5,2,21,-27,
BOS,BOS vs. ORL,05/04/2009,L,48,90,30,78,38.5,8,23,34.8,22,26,84.6,10,37,47,23,15,8,4,21,-5,
LAL,LAL vs. HOU,05/04/2009,L,48,92,39,88,44.3,2,18,11.1,12,19,63.2,12,27,39,18,13,11,4,26,-8,
HOU,HOU @ LAL,05/04/2009,W,48,100,35,73,47.9,5,18,27.8,25,29,86.2,6,29,35,16,18,8,3,14,8,
ORL,ORL @ BOS,05/04/2009,W,48,95,35,81,43.2,9,27,33.3,16,21,76.2,7,33,40,20,13,10,6,18,5,
MIA,MIA @ ATL,05/03/2009,L,48,78,26,63,41.3,4,19,21.1,22,25,88.0,11,28,39,12,19,5,8,22,-13,
DEN,DEN vs. DAL,05/03/2009,W,48,109,40,73,54.8,4,12,33.3,25,36,69.4,5,25,30,28,15,15,11,19,14,
ATL,ATL vs. MIA,05/03/2009,W,48,91,29,71,40.8,11,23,47.8,22,25,88.0,5,25,30,18,9,11,1,20,13,
DAL,DAL @ DEN,05/03/2009,L,48,95,40,82,48.8,6,18,33.3,9,13,69.2,10,27,37,17,20,10,2,29,-14,
CHI,CHI @ BOS,05/02/2009,L,48,99,30,77,39.0,7,24,29.2,32,36,88.9,7,33,40,17,15,10,7,29,-10,
BOS,BOS vs. CHI,05/02/2009,W,48,109,35,78,44.9,9,17,52.9,30,39,76.9,12,33,45,25,12,7,7,23,10,
MIA,MIA vs. ATL,05/01/2009,W,48,98,35,74,47.3,7,21,33.3,21,24,87.5,12,35,47,12,12,5,5,21,26,
ATL,ATL @ MIA,05/01/2009,L,48,72,27,73,37.0,7,21,33.3,11,18,61.1,12,24,36,8,16,7,5,24,-26,
CHI,CHI vs. BOS,04/30/2009,W,63,128,49,99,49.5,9,17,52.9,21,28,75.0,9,37,46,27,17,4,7,30,1,
BOS,BOS @ CHI,04/30/2009,L,63,127,46,106,43.4,11,31,35.5,24,30,80.0,16,33,49,29,13,6,6,29,-1,
HOU,HOU vs. POR,04/30/2009,W,48,92,36,78,46.2,9,24,37.5,11,14,78.6,10,31,41,14,8,9,4,13,16,
POR,POR @ HOU,04/30/2009,L,48,76,30,71,42.3,4,11,36.4,12,16,75.0,13,29,42,14,15,3,9,17,-16,
PHI,PHI vs. ORL,04/30/2009,L,48,89,31,76,40.8,7,20,35.0,20,25,80.0,12,24,36,17,17,4,2,21,-25,
ORL,ORL @ PHI,04/30/2009,W,48,114,44,82,53.7,12,26,46.2,14,20,70.0,12,29,41,31,14,10,4,24,25,
NOH,NOH @ DEN,04/29/2009,L,48,86,29,76,38.2,3,20,15.0,25,30,83.3,10,25,35,16,15,8,3,23,-21,
ATL,ATL vs. MIA,04/29/2009,W,48,106,34,70,48.6,5,19,26.3,33,41,80.5,12,25,37,23,6,5,2,24,15,
MIA,MIA @ ATL,04/29/2009,L,48,91,31,65,47.7,4,12,33.3,25,32,78.1,6,23,29,17,7,2,1,24,-15,
DEN,DEN vs. NOH,04/29/2009,W,48,107,37,72,51.4,10,23,43.5,23,27,85.2,6,33,39,26,15,9,7,24,21,
CHI,CHI @ BOS,04/28/2009,L,53,104,34,85,40.0,9,23,39.1,27,32,84.4,14,36,50,18,13,7,6,23,-2,
BOS,BOS vs. CHI,04/28/2009,W,53,106,42,86,48.8,6,16,37.5,16,24,66.7,9,35,44,24,10,5,9,20,2,
HOU,HOU @ POR,04/28/2009,L,48,77,33,73,45.2,3,15,20.0,8,10,80.0,3,33,36,17,17,5,1,24,-11,
PHI,PHI @ ORL,04/28/2009,L,48,78,29,68,42.6,4,18,22.2,16,20,80.0,4,29,33,17,16,7,2,28,-13,
SAS,SAS vs. DAL,04/28/2009,L,48,93,39,75,52.0,3,16,18.8,12,19,63.2,9,24,33,19,11,5,5,24,-13,
ORL,ORL vs. PHI,04/28/2009,W,48,91,33,76,43.4,8,23,34.8,17,24,70.8,15,30,45,14,14,7,3,21,13,
DAL,DAL @ SAS,04/28/2009,W,48,106,38,74,51.4,10,20,50.0,20,25,80.0,10,30,40,20,11,8,2,18,13,
POR,POR vs. HOU,04/28/2009,W,48,88,33,72,45.8,6,14,42.9,16,23,69.6,7,30,37,14,12,10,8,12,11,
MIA,MIA vs. ATL,04/27/2009,L,48,71,23,61,37.7,4,16,25.0,21,28,75.0,7,26,33,11,14,7,3,27,-10,
UTA,UTA @ LAL,04/27/2009,L,48,96,35,87,40.2,6,18,33.3,20,27,74.1,12,31,43,24,10,9,1,24,-11,
NOH,NOH vs. DEN,04/27/2009,L,48,63,17,54,31.5,2,15,13.3,27,32,84.4,7,25,32,10,27,10,1,23,-58,
ATL,ATL @ MIA,04/27/2009,W,48,81,28,66,42.4,5,14,35.7,20,26,76.9,11,29,40,15,15,7,4,25,10,
LAL,LAL vs. UTA,04/27/2009,W,48,107,36,80,45.0,9,21,42.9,26,35,74.3,15,35,50,23,16,8,8,21,11,
DEN,DEN @ NOH,04/27/2009,W,48,121,43,76,56.6,10,20,50.0,25,30,83.3,10,31,41,29,11,15,6,29,58,
PHI,PHI vs. ORL,04/26/2009,L,48,81,31,80,38.8,8,19,42.1,11,15,73.3,10,33,43,19,11,8,3,19,-3,
BOS,BOS @ CHI,04/26/2009,L,58,118,40,95,42.1,10,23,43.5,28,32,87.5,14,33,47,19,21,10,4,31,-3,
CHI,CHI vs. BOS,04/26/2009,W,58,121,45,93,48.4,5,12,41.7,26,35,74.3,10,39,49,23,16,9,9,28,3,
ORL,ORL @ PHI,04/26/2009,W,48,84,33,70,47.1,6,20,30.0,12,20,60.0,3,34,37,13,11,6,7,17,3,
CLE,CLE @ DET,04/26/2009,W,48,99,35,74,47.3,6,13,46.2,23,24,95.8,10,31,41,19,10,8,3,18,21,
HOU,HOU vs. POR,04/26/2009,W,48,89,33,83,39.8,9,16,56.3,14,22,63.6,16,27,43,24,9,7,1,18,1,
POR,POR @ HOU,04/26/2009,L,48,88,32,70,45.7,7,15,46.7,17,17,100,9,32,41,18,13,7,9,27,-1,
DET,DET vs. CLE,04/26/2009,L,48,78,31,78,39.7,1,10,10.0,15,18,83.3,7,23,30,17,10,4,2,25,-21,
DAL,DAL vs. SAS,04/25/2009,W,48,99,28,73,38.4,10,25,40.0,33,39,84.6,14,35,49,15,15,6,6,21,9,
UTA,UTA vs. LAL,04/25/2009,L,48,94,34,77,44.2,4,10,40.0,22,32,68.8,11,28,39,27,13,12,4,20,-14,
LAL,LAL @ UTA,04/25/2009,W,48,108,40,77,51.9,8,19,42.1,20,28,71.4,8,38,46,19,15,11,3,24,14,
NOH,NOH vs. DEN,04/25/2009,W,48,95,30,69,43.5,7,20,35.0,28,35,80.0,8,32,40,16,16,6,2,29,2,
MIA,MIA vs. ATL,04/25/2009,W,48,107,38,81,46.9,12,23,52.2,19,19,100,15,33,48,18,9,8,12,17,29,
DEN,DEN @ NOH,04/25/2009,L,48,93,30,74,40.5,9,21,42.9,24,35,68.6,10,34,44,19,14,7,1,29,-2,
ATL,ATL @ MIA,04/25/2009,L,48,78,29,79,36.7,5,15,33.3,15,19,78.9,10,25,35,13,10,3,5,19,-29,
SAS,SAS @ DAL,04/25/2009,L,48,90,31,70,44.3,6,23,26.1,22,34,64.7,6,29,35,14,11,9,3,28,-9,
PHI,PHI vs. ORL,04/24/2009,W,48,96,37,71,52.1,4,10,40.0,18,26,69.2,6,29,35,16,17,6,5,24,2,
POR,POR @ HOU,04/24/2009,L,48,83,32,76,42.1,10,23,43.5,9,10,90.0,9,23,32,19,13,7,9,25,-3,
DET,DET vs. CLE,04/24/2009,L,48,68,27,71,38.0,4,12,33.3,10,12,83.3,5,34,39,17,15,4,5,25,-11,
CLE,CLE @ DET,04/24/2009,W,48,79,28,68,41.2,4,22,18.2,19,30,63.3,9,33,42,20,15,8,7,17,11,
ORL,ORL @ PHI,04/24/2009,L,48,94,31,73,42.5,8,20,40.0,24,29,82.8,9,26,35,18,14,8,6,22,-2,
HOU,HOU vs. POR,04/24/2009,W,48,86,32,69,46.4,3,9,33.3,19,24,79.2,9,32,41,21,14,7,7,16,3,
BOS,BOS @ CHI,04/23/2009,W,48,107,38,79,48.1,12,21,57.1,19,24,79.2,8,29,37,23,14,16,10,21,21,
DAL,DAL vs. SAS,04/23/2009,W,48,88,34,72,47.2,8,22,36.4,12,16,75.0,5,46,51,20,13,8,8,20,21,
SAS,SAS @ DAL,04/23/2009,L,48,67,25,78,32.1,2,17,11.8,15,21,71.4,8,33,41,10,11,7,2,18,-21,
CHI,CHI vs. BOS,04/23/2009,L,48,86,30,80,37.5,9,22,40.9,17,27,63.0,15,30,45,14,22,5,4,18,-21,
UTA,UTA vs. LAL,04/23/2009,W,48,88,33,75,44.0,4,13,30.8,18,28,64.3,14,41,55,23,16,5,6,22,2,
LAL,LAL @ UTA,04/23/2009,L,48,86,32,87,36.8,6,17,35.3,16,26,61.5,16,24,40,15,9,7,2,25,-2,
MIA,MIA @ ATL,04/22/2009,W,48,108,40,72,55.6,15,26,57.7,13,18,72.2,6,34,40,23,14,6,6,25,15,
DEN,DEN vs. NOH,04/22/2009,W,48,108,43,86,50.0,9,16,56.3,13,21,61.9,12,24,36,26,6,8,4,20,15,
ATL,ATL vs. MIA,04/22/2009,L,48,93,34,77,44.2,6,20,30.0,19,30,63.3,13,20,33,18,11,5,4,21,-15,
NOH,NOH @ DEN,04/22/2009,L,48,93,34,74,45.9,9,16,56.3,16,20,80.0,11,32,43,18,17,1,4,20,-15,
ORL,ORL vs. PHI,04/22/2009,W,48,96,34,79,43.0,6,23,26.1,22,30,73.3,14,30,44,14,14,9,7,16,9,
PHI,PHI @ ORL,04/22/2009,L,48,87,35,75,46.7,5,16,31.3,12,18,66.7,9,28,37,18,17,8,2,25,-9,
HOU,HOU @ POR,04/21/2009,L,48,103,37,74,50.0,7,20,35.0,22,32,68.8,4,31,35,12,10,1,1,28,-4,
UTA,UTA @ LAL,04/21/2009,L,48,109,39,79,49.4,8,19,42.1,23,29,79.3,9,21,30,25,20,13,6,25,-10,
DET,DET @ CLE,04/21/2009,L,48,82,32,81,39.5,5,15,33.3,13,16,81.3,9,25,34,17,13,7,2,27,-12,
LAL,LAL vs. UTA,04/21/2009,W,48,119,45,75,60.0,11,20,55.0,18,24,75.0,7,23,30,33,21,8,6,23,10,
POR,POR vs. HOU,04/21/2009,W,48,107,38,74,51.4,5,11,45.5,26,36,72.2,6,30,36,11,6,5,7,26,4,
CLE,CLE vs. DET,04/21/2009,W,48,94,28,66,42.4,6,18,33.3,32,43,74.4,13,30,43,21,14,5,3,18,12,
CHI,CHI @ BOS,04/20/2009,L,48,115,40,80,50.0,9,20,45.0,26,29,89.7,8,28,36,20,13,7,14,18,-3,
SAS,SAS vs. DAL,04/20/2009,W,48,105,42,79,53.2,7,18,38.9,14,17,82.4,9,35,44,19,13,5,5,20,21,
DAL,DAL @ SAS,04/20/2009,L,48,84,29,72,40.3,6,18,33.3,20,23,87.0,5,23,28,17,12,9,4,17,-21,
BOS,BOS vs. CHI,04/20/2009,W,48,118,47,96,49.0,7,16,43.8,17,25,68.0,21,29,50,26,12,9,4,21,3,
LAL,LAL vs. UTA,04/19/2009,W,48,113,40,72,55.6,7,15,46.7,26,32,81.3,7,31,38,22,17,8,9,29,13,
NOH,NOH @ DEN,04/19/2009,L,48,84,29,78,37.2,9,21,42.9,17,23,73.9,10,25,35,19,17,8,3,29,-29,
DEN,DEN vs. NOH,04/19/2009,W,48,113,38,75,50.7,11,21,52.4,26,33,78.8,12,37,49,25,17,8,8,22,29,
ATL,ATL vs. MIA,04/19/2009,W,48,90,36,78,46.2,4,14,28.6,14,20,70.0,14,36,50,23,18,10,4,16,26,
MIA,MIA @ ATL,04/19/2009,L,48,64,26,71,36.6,4,23,17.4,8,12,66.7,5,30,35,12,19,10,5,19,-26,
UTA,UTA @ LAL,04/19/2009,L,48,100,34,87,39.1,3,13,23.1,29,35,82.9,20,26,46,28,14,10,0,28,-13,
ORL,ORL vs. PHI,04/19/2009,L,48,98,37,76,48.7,5,18,27.8,19,25,76.0,7,28,35,18,10,3,3,21,-2,
PHI,PHI @ ORL,04/19/2009,W,48,100,41,80,51.3,7,12,58.3,11,20,55.0,7,30,37,20,10,4,4,21,2,
SAS,SAS vs. DAL,04/18/2009,L,48,97,38,81,46.9,11,14,78.6,10,12,83.3,12,23,35,18,9,2,0,20,-8,
DAL,DAL @ SAS,04/18/2009,W,48,105,42,78,53.8,5,17,29.4,16,17,94.1,10,29,39,14,7,5,3,17,8,
POR,POR vs. HOU,04/18/2009,L,48,81,35,84,41.7,1,11,9.1,10,16,62.5,15,15,30,12,9,4,3,23,-27,
HOU,HOU @ POR,04/18/2009,W,48,108,38,65,58.5,8,21,38.1,24,28,85.7,8,36,44,16,15,5,6,21,27,
CHI,CHI @ BOS,04/18/2009,W,53,105,41,96,42.7,3,17,17.6,20,22,90.9,10,43,53,20,17,5,10,26,2,
BOS,BOS vs. CHI,04/18/2009,L,53,103,39,99,39.4,4,16,25.0,21,27,77.8,10,35,45,16,13,8,7,20,-2,
CLE,CLE vs. DET,04/18/2009,W,48,102,37,70,52.9,5,15,33.3,23,27,85.2,6,28,34,24,5,4,5,10,18,
DET,DET @ CLE,04/18/2009,L,48,84,36,78,46.2,2,12,16.7,10,12,83.3,9,22,31,15,7,2,3,18,-18,
